id,barcode,brand_code,category,category_code,cpg_ref,cpg_id,name,is_top_brand
601ac115be37ce2ead437551,511111019862,,baking,baking,Cogs,601ac114be37ce2ead437550,test brand @1612366101024,false
601c5460be37ce2ead43755f,511111519928,STARBUCKS,beverages,beverages,Cogs,5332f5fbe4b03c9a25efd0ba,Starbucks,false
601ac142be37ce2ead43755d,511111819905,TEST BRANDCODE @1612366146176,baking,baking,Cogs,601ac142be37ce2ead437559,test brand @1612366146176,false
601ac142be37ce2ead43755a,511111519874,TEST BRANDCODE @1612366146051,baking,baking,Cogs,601ac142be37ce2ead437559,test brand @1612366146051,false
601ac142be37ce2ead43755e,511111319917,TEST BRANDCODE @1612366146827,candy & sweets,candy_and_sweets,Cogs,5332fa12e4b03c9a25efd1e7,test brand @1612366146827,false
601ac142be37ce2ead43755b,511111719885,TEST BRANDCODE @1612366146091,baking,baking,Cogs,601ac142be37ce2ead437559,test brand @1612366146091,false
601ac142be37ce2ead43755c,511111219897,TEST BRANDCODE @1612366146133,baking,baking,Cogs,601ac142be37ce2ead437559,test brand @1612366146133,false
5cdad0f5166eb33eb7ce0faa,511111104810,J.L. KRAFT,condiments & sauces,,Cogs,559c2234e4b06aca36af13c6,J.L. Kraft,
5ab15636e4b0be0a89bb0b07,511111504412,CAMPBELLS HOME STYLE,canned goods & soups,,Cogs,5a734034e4b0d58f376be874,Campbell's Home Style,false
5c408e8bcd244a1fdb47aee7,511111504788,TEST,baking,,Cogs,59ba6f1ce4b092b29c167346,test,
5f4bf556be37ce0b4491554d,511111516354,TEST BRANDCODE @1598813526777,baking,baking,Cogs,5f4bf556be37ce0b44915549,test brand @1598813526777,
57c08106e4b0718ff5fcb02c,511111102540,,,,Cpgs,5332f5f2e4b03c9a25efd0aa,MorningStar,
588ba07be4b02187f85cdadd,511111201076,CALUMET,baking,,Cogs,559c2234e4b06aca36af13c6,Calumet,false
5d6413156d5f3b23d1bc790a,511111205012,511111205012,magazines,,Cogs,5d5d4fd16d5f3b23d1bc7905,Entertainment Weekly,
585a9611e4b03e62d1ce0e74,511111801801,AUNT JEMIMA SYRUP,breakfast & cereal,,Cogs,5332f5fbe4b03c9a25efd0ba,AUNT JEMIMA Syrup,false
57e5820ce4b0ac389136a311,511111202233,MOLSON,beer wine spirits,,Cpgs,5332f709e4b03c9a25efd0f1,Molson Canadian,false
5fb6adb8be37ce522e165cb8,511111817376,LOTRIMIN,health & wellness,healthy_and_wellness,Cogs,5d9b4f591dda2c6225a284aa,Lotrimin®,false
5f358338be37ce443bf9d55a,511111515319,TEST BRANDCODE @1597342520277,baking,baking,Cogs,5f358338be37ce443bf9d557,test brand @1597342520277,
5fb28549be37ce522e165cb5,511111317364,,baking,baking,Cogs,5fb28549be37ce522e165cb4,test brand @1605535049181,false
592486bfe410d61fcea3d139,511111300700,ST IVES,beauty,,Cogs,5332f5f6e4b03c9a25efd0b4,ST. IVES,false
5c4699f387ff3577e203ea29,511111305125,CHRISIMAGE,baby,,Cogs,55b62995e4b0d8e685c14213,Chris Image Test,
5da6071ea60b87376833e34d,511111005650,ALKA SELTZER,health & wellness,healthy_and_wellness,Cogs,5d9b4f591dda2c6225a284aa,Alka-Seltzer®,
57ebc011e4b0ac389136a335,511111802129,JACK DANIEL'S BARBECUE,condiments & sauces,,Cogs,559c2234e4b06aca36af13c6,Jack Daniel's,false
5332f5fee4b03c9a25efd0bd,511111303947,,,,Cpgs,53e10d6368abd3c7065097cc,Bottled Starbucks,
5332fa7ce4b03c9a25efd22e,511111802914,,,,Cpgs,5332f5ebe4b03c9a25efd0a8,Full Throttle,
5e9f18bfbe37ce3e45b6a77f,511111914549,,baking,baking,Cogs,5e9f12f5be37ce3e45b6a77e,PopUp Brand A,
592486bee410d61fcea3d133,511111400769,MAGNUM Ice Cream,frozen,,Cogs,5332f5f6e4b03c9a25efd0b4,MAGNUM Ice Cream,false
5d66d71fa3a018093ab34728,511111105329,511111105329,magazines,,Cogs,5d5d4fd16d5f3b23d1bc7905,Elegant Homes Magazine,
5f493e72be37ce64d0ae36c6,511111316114,TEST BRANDCODE @1598635634882,baking,baking,Cogs,5f493e72be37ce64d0ae36c2,test brand @1598635634882,
5f4936ddbe37ce52f8314fd9,511111315957,,baking,baking,Cogs,5f4936dcbe37ce52f8314fd8,test brand @1598633693011,
57ebc2e7e4b0ac389136a34b,511111201915,TACO BELL,grocery,,Cogs,559c2234e4b06aca36af13c6,Taco Bell,false
5fd2a0aebe37ce49eb72c0ee,511111518112,,baking,baking,Cogs,5fd2a0aebe37ce49eb72c0ed,test brand @1607639214411,false
5dc03596a60b873d6b0666cd,511111506249,FROSTED CHEERIOS,breakfast & cereal,,Cogs,53e10d6368abd3c7065097cc,Frosted Cheerios™,
5f494c5f04db711dd8fe87e6,511111916161,TEST BRANDCODE @1598639199674,baking,baking,Cogs,5f494c5d04db711dd8fe87e2,test brand @1598639199674,
5332f772e4b03c9a25efd125,511111103653,,,,Cpgs,5332f5f3e4b03c9a25efd0ae,Gold Medal,
59dfaad1e4b0a56a2fa69abc,511111100621,GODIVA DRY PACKAGED DESSERTS,baking,,Cogs,559c2234e4b06aca36af13c6,GODIVA Instant Pudding Mix,false
5daf33e71dda2c3e1416ae93,511111305910,LARABAR,snacks,,Cogs,5332f5f3e4b03c9a25efd0ae,LÄRABAR™,
5f35a0babe37ce6853cff1ff,511111115366,TEST BRANDCODE @1597350074333,baking,baking,Cogs,5f35a0babe37ce6853cff1fd,test brand @1597350074333,
5fd29590be37ce38bbbefb28,511111718079,TEST BRANDCODE @1607636368717,baking,baking,Cogs,5fd29590be37ce38bbbefb25,test brand @1607636368717,false
5fd3acb6be37ce0d9386bb40,511111818182,TEST BRANDCODE @1607707830095,baking,baking,Cogs,5fd3acb5be37ce0d9386bb3e,test brand @1607707830095,false
5bd200a6965c7d66d92731ea,511111504627,COTTONELLE,household,,Cogs,550b2565e4b001d5e9e4146f,Cottonelle,false
585a9675e4b03e62d1ce0e7f,511111301691,IZZE,beverages,,Cogs,5332f5fbe4b03c9a25efd0ba,Izze,false
5887a17ee4b02187f85cdad3,511111101178,MIO,beverages,,Cogs,559c2234e4b06aca36af13c6,Mio,false
5332f765e4b03c9a25efd11f,511111503699,,,,Cpgs,5332f5ebe4b03c9a25efd0a8,Glaceau vitaminwater,
5d66d94d6d5f3b6188d4f04b,511111505365,511111505365,magazines,,Cogs,5d5d4fd16d5f3b23d1bc7905,Magnolia Journal Magazine,
5d66d2fd6d5f3b6188d4f045,511111405252,QUILTING SPECIAL EDITION,magazines,,Cogs,5d5d4fd16d5f3b23d1bc7905,American Patchwork & Quilting Magazine,
5332f5f3e4b03c9a25efd0ad,511111104025,,,,Cpgs,5332f5f3e4b03c9a25efd0ae,Gree Giant,
5fa1c567be37ce402c4618f1,511111317203,TEST BRANDCODE @1604437351617,baking,baking,Cogs,5fa1c567be37ce402c4618ef,test brand @1604437351617,false
5a5d1e76e4b0db471c2d0425,511111900337,HERMAN,beer wine spirits,,Cogs,5332f709e4b03c9a25efd0f1,Herman Joseph's,
55b630d9e4b0d8e685c1421f,511111302629,,,,Cogs,55b62995e4b0d8e685c14213,Sundrop,
5d602d9d6d5f3b23d1bc7907,511111704935,KEVITA,beverages,,Cogs,5332f5fbe4b03c9a25efd0ba,Kevita Sparkling Drinks,
57ebbf75e4b0ac389136a32f,511111902188,DELIMEX,frozen,,Cogs,559c2234e4b06aca36af13c6,Delimex,false
5d2f68d96d5f3b107e208da4,511111004844,THE RIGHT TO SHOWER,personal care,,Cogs,5332f5f6e4b03c9a25efd0b4,THE RIGHT TO SHOWER,
592486bde410d61fcea3d124,511111100904,CARESS,personal care,,Cogs,5332f5f6e4b03c9a25efd0b4,CARESS,false
5f16f536be37ce2b30061e27,511111115083,TEST BRANDCODE @1595340086044,baking,baking,Cogs,5f16f535be37ce2b30061e24,test brand @1595340086044,
5332f6ede4b03c9a25efd0e5,511111603870,,,,Cpgs,5332f6ede4b03c9a25efd0e6,Blue Bunny,
5332fa05e4b03c9a25efd1d6,511111103141,,,,Cpgs,5332f5f2e4b03c9a25efd0aa,Krave,
5f3d6f44be37ce4ddbb1bb3e,511111315513,TEST BRANDCODE @1597861700968,baking,baking,Cogs,5f3d6f44be37ce4ddbb1bb3a,test brand @1597861700968,
5c76d3cd95144c5375687b4f,511111106876,TEST BRAND CODE,grocery,,Cogs,5c76d20595144c5375687b4e,DASH-2249 Brand1,true
5f3ff223be37ce1c81aa1e11,511111115649,TEST BRANDCODE @1598026275245,candy & sweets,candy_and_sweets,Cogs,5332fa12e4b03c9a25efd1e7,test brand @1598026275245,
5a8c36dbe4b0ccf165fac9e9,511111204206,SWANSON,canned goods & soups,,Cogs,5a734034e4b0d58f376be874,Swanson,false
55b630e1e4b0d8e685c14220,511111102618,,,,Cogs,55b62995e4b0d8e685c14213,A&W Rootbeer,
5f3ff222be37ce1c81aa1e0f,511111415626,TEST BRANDCODE @1598026274668,baking,baking,Cogs,5f3ff222be37ce1c81aa1e0c,test brand @1598026274668,
5c76db7295144c5375687b50,511111306887,DASH-2249 1,frozen,,Cogs,5c76d20595144c5375687b4e,DASH-2249 Brand2,false
5da609991dda2c3e1416ae90,511111805854,511111805854,health & wellness,,Cogs,53e10d6368abd3c7065097cc,ONE A DAY® WOMENS,false
5afda575e4b0c11cfecd49f9,511111104537,KETTLE BRAND,snacks,,Cogs,5a734034e4b0d58f376be874,Kettle Brand,false
5ab154dde4b0915382df761f,511111404392,CAMPBELLS SOUP AT HAND ,canned goods & soups,,Cogs,5a734034e4b0d58f376be874,Campbell's Soup at Hand,false
5f3e9195be37ce5a0e01b960,511111615583,,baking,baking,Cogs,5f3e9195be37ce5a0e01b95f,test brand @1597936021514,
5fb82faebe37ce522e165ce9,511111117841,RAINBO,grocery,grocery,Cogs,5fb6b608be37ce522e165cb9,Rainbo,false
57e58157e4b0ac389136a30a,511111602279,CRISPIN,beer wine spirits,,Cogs,5332f709e4b03c9a25efd0f1,Crispin Cider Company,false
5fd3acb6be37ce0d9386bb41,511111318194,TEST BRANDCODE @1607707830137,baking,baking,Cogs,5fd3acb5be37ce0d9386bb3e,test brand @1607707830137,false
5e90a545ee7f2d70340f40d7,511111114413,CLARITIN®,health & wellness,healthy_and_wellness,Cogs,5d9b4f591dda2c6225a284aa,Claritin®,false
5daf5e94a60b87376833e362,511111706045,COOKIE CRISP,breakfast & cereal,,Cogs,5332f5f3e4b03c9a25efd0ae,Cookie Crisp™,
5fb2852cbe37ce522e165caf,511111717317,TEST BRANDCODE @1605535020442,baking,baking,Cogs,5fb2852cbe37ce522e165cae,test brand @1605535020441,false
5332f743e4b03c9a25efd109,511111903789,,snacks,,Cpgs,5332f5f2e4b03c9a25efd0aa,Keebler,
5fa98944be37ce239d107100,511111417262,TEST BRANDCODE @1604946244750,baking,baking,Cogs,5fa98944be37ce239d1070ff,test brand @1604946244750,false
5afda65de4b0c11cfecd49fb,511111004561,SNYDERS OF HANOVER,snacks,,Cogs,5a734034e4b0d58f376be874,SNYDERS OF HANOVER,false
5332fa7ee4b03c9a25efd230,511111702894,,,,Cpgs,5332f5ebe4b03c9a25efd0a8,Powerade,
57ebbfafe4b0ac389136a332,511111002154,GOOD SEASONS,condiments & sauces,,Cogs,559c2234e4b06aca36af13c6,Good Seasons,false
5f493682be37ce52f8314fce,511111115922,TEST BRANDCODE @1598633602279,baking,baking,Cogs,5f493682be37ce52f8314fcb,test brand @1598633602279,
57ace91ae4b057c992a316ac,511111602552,,,,Cpgs,57ace90fe4b057c992a316ab,Pizza Pizza Pizza,
5a5d2431e4b06ba572cf24a1,511111200246,REVOLVER,beer wine spirits,,Cogs,5332f709e4b03c9a25efd0f1,Revolver,
57e5810ce4b0ac389136a307,511111802280,KEYSTONE LIGHT,beer wine spirits,,Cogs,5332f709e4b03c9a25efd0f1,Keystone Light,false
5332f5f2e4b03c9a25efd0ab,511111604037,,,,Cpgs,5332f5f3e4b03c9a25efd0ac,Our Family,
